,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP	
258708,GEOMETRIC,EQ,67.0,67.4,65.5,65.75,65.9,65.95,18403,1219109.9,20-MAR-2012	
260607,GEOMETRIC,EQ,100.8,101.75,98.55,99.0,99.05,101.75,56865,5674373.75,20-MAR-2013	
261260,GEOMETRIC,EQ,129.55,136.9,129.0,133.75,134.0,128.7,1248766,167942993.25,03-AUG-2015	
262503,GEOMETRIC,EQ,113.75,123.8,113.75,119.4,118.85,114.3,3373088,404594125.3,20-MAR-2014	
264444,GEOMETRIC,EQ,173.35,176.5,170.3,172.55,174.55,172.45,568327,98568429.1,20-MAR-2015	
266099,GEOMETRIC,EQ,133.7,135.9,130.2,131.2,131.6,134.6,272174,35868353.9,27-OCT-2014	
266375,GEOMETRIC,EQ,57.65,58.75,57.65,58.45,58.55,58.2,77823,4541853.7,20-MAY-2011	
268172,GEOMETRIC,EQ,103.5,107.8,103.5,105.4,105.7,104.2,280920,29811620.45,20-MAY-2013	
270013,GEOMETRIC,EQ,108.3,124.4,108.3,121.6,121.5,108.15,1650683,196683242.0,20-MAY-2014	
271987,GEOMETRIC,EQ,137.1,139.2,134.5,135.25,135.2,136.7,229067,31328113.0,20-MAY-2015	
273918,GEOMETRIC,EQ,107.25,107.9,101.55,103.3,103.8,106.6,287336,29904096.55,20-NOV-2012	
275776,GEOMETRIC,EQ,83.8,86.0,83.15,84.35,84.55,83.5,119209,10115074.1,20-NOV-2013	
277619,GEOMETRIC,EQ,135.85,152.5,133.1,147.45,150.9,134.65,2558655,370645036.75,20-NOV-2014	
279559,GEOMETRIC,EQ,65.65,68.1,65.65,66.3,66.3,66.35,95992,6429251.45,20-OCT-2010	
280546,GEOMETRIC,EQ,71.9,72.4,68.0,68.5,68.75,71.3,133844,9347255.3,03-DEC-2010	
281359,GEOMETRIC,EQ,44.75,45.4,44.1,44.2,44.2,44.75,17478,777695.9,20-OCT-2011	
283196,GEOMETRIC,EQ,134.3,136.8,122.75,124.6,124.25,132.0,1347942,171942029.3,20-OCT-2014	
285125,GEOMETRIC,EQ,74.95,76.7,73.5,73.7,73.6,74.3,181515,13589895.1,20-SEP-2010	
285495,GEOMETRIC,EQ,71.55,71.85,69.7,70.15,70.0,70.9,55963,3971577.25,27-SEP-2010	
286920,GEOMETRIC,EQ,41.0,46.8,41.0,46.15,46.25,41.95,102195,4613095.8,20-SEP-2011	
288790,GEOMETRIC,EQ,106.95,119.0,105.15,116.3,116.65,107.85,1822747,208727166.35,20-SEP-2012	
290644,GEOMETRIC,EQ,77.8,78.35,75.75,76.25,75.75,76.75,33616,2585896.15,20-SEP-2013	
292429,GEOMETRIC,EQ,68.0,68.5,66.5,66.65,66.85,66.75,126493,8513659.05,21-APR-2011	
294237,GEOMETRIC,EQ,116.0,118.8,115.0,117.5,117.7,115.3,490094,57378334.25,21-APR-2014	
296183,GEOMETRIC,EQ,165.0,171.85,162.5,165.15,165.15,165.75,759420,127366200.7,21-APR-2015	
298103,GEOMETRIC,EQ,107.75,109.8,105.8,107.1,107.1,106.95,918988,99027628.4,21-AUG-2012	
298672,GEOMETRIC,EQ,106.8,109.7,105.6,107.3,107.45,105.95,235098,25208182.45,03-DEC-2012	
299964,GEOMETRIC,EQ,72.95,73.45,71.05,71.45,72.4,71.9,28143,2032882.4,21-AUG-2013	
301692,GEOMETRIC,EQ,146.9,151.4,144.65,145.5,145.15,142.55,1242202,184439768.1,21-AUG-2014	
303413,GEOMETRIC,EQ,44.5,45.8,44.0,45.35,45.2,44.5,29866,1351083.8,27-SEP-2011	
303638,GEOMETRIC,EQ,69.05,71.5,69.05,70.75,71.1,69.0,99176,6982167.6,21-DEC-2010	
305450,GEOMETRIC,EQ,47.3,47.3,42.75,45.9,46.5,45.55,172913,7768498.35,21-DEC-2011	
307340,GEOMETRIC,EQ,102.55,102.6,99.0,99.65,100.2,102.2,116119,11693099.35,21-DEC-2012	
309275,GEOMETRIC,EQ,68.55,68.8,65.75,66.45,67.25,67.25,172807,11496167.0,21-FEB-2011	
311105,GEOMETRIC,EQ,71.8,72.7,70.55,71.35,71.6,71.45,73534,5253979.55,21-FEB-2012	
313023,GEOMETRIC,EQ,106.25,110.8,101.0,104.45,104.05,107.3,719842,77723223.9,21-FEB-2013	
314909,GEOMETRIC,EQ,91.8,109.7,91.8,108.1,107.2,92.3,2742844,289506143.3,21-FEB-2014	
316792,GEOMETRIC,EQ,81.4,84.9,79.35,81.5,82.3,78.75,633703,51373007.6,21-JAN-2011	
317676,GEOMETRIC,EQ,86.35,87.4,85.35,85.65,85.7,86.35,99242,8571464.5,03-DEC-2013	
318614,GEOMETRIC,EQ,117.45,117.45,113.85,114.5,114.05,116.15,558111,64394981.3,21-JAN-2013	
320527,GEOMETRIC,EQ,104.45,104.9,101.4,101.8,102.3,103.2,210638,21757882.4,21-JAN-2014	
320598,GEOMETRIC,EQ,73.3,73.6,71.35,72.35,72.4,72.15,130567,9479917.2,01-DEC-2010	
322137,GEOMETRIC,EQ,114.9,115.85,114.0,114.4,114.3,113.7,809815,92950011.25,27-SEP-2012	
322424,GEOMETRIC,EQ,133.5,134.7,130.3,132.85,132.8,133.9,174635,23054222.15,21-JAN-2015	
324392,GEOMETRIC,EQ,53.5,53.5,51.55,51.85,52.0,52.4,31843,1654187.35,21-JUL-2011	
326236,GEOMETRIC,EQ,149.75,151.4,146.15,148.05,148.05,147.75,304481,45566135.0,21-JUL-2014	
328226,GEOMETRIC,EQ,118.1,120.5,114.1,115.15,115.35,117.65,466249,55083787.75,21-JUL-2015	
330151,GEOMETRIC,EQ,55.45,55.45,50.7,51.7,50.7,54.3,45552,2413755.55,21-JUN-2011	
331991,GEOMETRIC,EQ,68.9,75.5,68.25,73.75,73.6,69.2,899345,66652243.6,21-JUN-2012	
333819,GEOMETRIC,EQ,103.4,104.95,102.0,104.3,103.7,103.45,46613,4842154.8,21-JUN-2013	
335614,GEOMETRIC,EQ,59.45,60.0,58.55,59.05,59.0,59.35,53456,3154742.4,21-MAR-2011	
335935,GEOMETRIC,EQ,133.95,138.25,133.8,136.55,136.3,133.95,351389,47974922.0,03-DEC-2014	
337444,GEOMETRIC,EQ,66.0,70.6,66.0,69.95,70.4,65.75,99637,6884972.55,21-MAR-2012	
339331,GEOMETRIC,EQ,100.15,100.8,96.75,97.35,98.0,99.0,74412,7319562.4,21-MAR-2013	
340885,GEOMETRIC,EQ,76.0,76.6,75.45,75.7,75.6,75.9,34064,2588171.55,27-SEP-2013	
341245,GEOMETRIC,EQ,120.7,129.65,120.0,122.5,121.85,119.4,4805831,605258472.2,21-MAR-2014	
343170,GEOMETRIC,EQ,72.2,73.75,70.3,71.05,71.0,71.95,104445,7569093.8,21-MAY-2012	
345012,GEOMETRIC,EQ,105.2,113.4,105.2,108.0,108.5,105.4,879924,97291919.4,21-MAY-2013	
346867,GEOMETRIC,EQ,121.0,139.0,120.0,136.0,136.2,121.6,4319590,570135595.2,21-MAY-2014	
348850,GEOMETRIC,EQ,136.0,138.3,134.1,135.1,134.85,135.25,252104,34275719.15,21-MAY-2015	
350761,GEOMETRIC,EQ,43.15,43.15,39.25,39.4,39.25,39.9,18477,736445.75,21-NOV-2011	
